Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Petroleum Engineering,92300.0,182000.0
Electrical Engineering & Computer Science (EECS),101200.0,152300.0
Applied Economics and Management,60900.0,139600.0
Operations Research,78400.0,139600.0
Public Accounting,60000.0,138800.0
Chemical Engineering/Materials Science & Engineering,74500.0,137800.0
Quantitative Business Analysis,67900.0,136200.0
Pharmacy,66300.0,133200.0
Aeronautics & Astronautics,74000.0,133100.0
Systems Engineering,74000.0,132900.0
Electrical Power Engineering,73100.0,130700.0
Actuarial Mathematics,61900.0,130500.0
Aerospace Studies,50300.0,130300.0
Chemical Engineering,73500.0,128900.0
Actuarial Science,64700.0,128700.0
Information & Computer Science,70300.0,127600.0
Aeronautical Engineering,71600.0,125900.0
Operations & Information Systems Management,63800.0,125100.0
Political Economy,58200.0,125100.0
Marine Engineering,74700.0,125000.0
Computer Systems Engineering,74600.0,124800.0
Nuclear Engineering,73100.0,124500.0
Computer Science (CS) & Engineering,74000.0,124000.0
Corporate Accounting & Finance,61200.0,123600.0
Electrical & Computer Engineering (ECE),73900.0,123300.0
Computer Engineering (CE),74600.0,123200.0
Econometrics,60700.0,123000.0
Building Science,51100.0,122500.0
Mechatronics,70200.0,122300.0
Quantitative Economics,62000.0,121900.0
Foreign Affairs,52200.0,121800.0
Welding Engineering,76900.0,121800.0
Economics and Mathematics,65000.0,121400.0
Electrical Engineering (EE),71800.0,121400.0
Cognitive Science,64100.0,121100.0
Control Engineering,69900.0,121100.0
Geophysics,56900.0,120600.0
Pharmacology,55000.0,120600.0
Instrumentation & Control Engineering,69000.0,120500.0
Computational & Applied Mathematics,69700.0,120100.0
Marine Transportation Management,67800.0,120100.0
Aerospace Engineering,70700.0,119800.0
Ocean Engineering (OE),65100.0,119700.0
Astronomy,54300.0,119600.0
Mechanical & Aeronautical Engineering,66900.0,119600.0
Chemical & Biomolecular Engineering,74000.0,118700.0
Computer Science (CS) & Mathematics,66800.0,118500.0
Bioscience,48400.0,118300.0
Electrical & Electronics Engineering (EEE),71300.0,118100.0
Metallurgical Engineering,79100.0,117700.0
Aeronautical/Aerospace Engineering Technology,73400.0,117500.0
Materials Engineering,69100.0,117500.0
Accounting & Economics,61600.0,117400.0
Industrial & Systems Engineering,69900.0,117300.0
Optical Science & Engineering,67600.0,117100.0
Computer Science (CS),70700.0,116500.0
Biomedical Engineering (BME),67700.0,116300.0
Materials Science,62700.0,116200.0
Electronics & Communications Engineering,61500.0,116100.0
Mining Engineering,75200.0,116100.0
Engineering,66500.0,116000.0
Applied Mathematics,64400.0,115500.0
Integrated Science & Technology,62500.0,115500.0
Petroleum Land Management,60600.0,115400.0
Bioengineering (BioE),67400.0,115000.0
Software Engineering,71100.0,114700.0
Operations Management & Information Systems,61900.0,114500.0
Statistics,63700.0,114400.0
Business Analysis,59200.0,114300.0
Computer & Information Science,60100.0,114300.0
Physics,62300.0,113800.0
Physics & Mathematics,61500.0,113600.0
Physics & Astronomy,54000.0,112900.0
Construction Engineering Management,64800.0,112700.0
Physician Assistant Studies,92900.0,112200.0
Mechanical Engineering (ME),67600.0,111500.0
Industrial Engineering (IE),68300.0,111400.0
Entrepreneurship & Marketing,48500.0,111100.0
Engineering Science,64700.0,111100.0
International Business & Finance,57700.0,111100.0
Materials Science & Engineering,69200.0,111100.0
Ceramic Engineering,66300.0,110900.0
International Economics,54600.0,110900.0
Information & Decision Sciences,60600.0,110800.0
Finance & Marketing,53400.0,110700.0
Telecommunications Engineering,59800.0,110600.0
Business & Economics,56800.0,110500.0
Mathematics & Statistics,59800.0,110000.0
Paper Science,72400.0,109900.0
Electronics Engineering,67600.0,109700.0
Engineering Physics,66700.0,109700.0
Industrial Distribution,60700.0,109700.0
Economics,58200.0,109400.0
Energy Management,64000.0,109200.0
Structural Engineering (SE),64300.0,109200.0
Managerial Economics,61500.0,109100.0
Automotive Engineering,60500.0,108700.0
Business & Information Technology (IT),58200.0,108700.0
